Label Name,Data Name,Unit,Use
Total Installed Cost of Storage,Sensitivity/LI ASM Replacement Cost Multiplier (*),per kWh,Input
Total Installed Cost of Solar,Sensitivity/PV Replacement Cost Multiplier (*),per kW,Input
Discount Rate,Sensitivity/NominalDiscountRate (%),%,Input
Annual Maintenance Cost,Sensitivity/System Fixed O&M Cost ($),per Year per MW,Input
Controllable Load,Sensitivity/Capacity Shortage (%),% of total load,Input
Levelized Cost of Energy,Cost/LCOE ($/kWh),per kWh,Output
